GBRMPA_group;SHORT_NAME;GBRMPA_water_area;Measure;GL.Season;Location;GL;DirectionOfFailure
70;"NR06,ER06";Offshore waters;NOx.wm;Wet;;;H
70;"NR06,ER06";Offshore waters;NOx.wm;Annual;Median;0.42;H
70;"NR06,ER06";Offshore waters;PN.wm;Dry;;;H
70;"NR06,ER06";Offshore waters;PN.wm;Wet;;;H
70;"NR06,ER06";Offshore waters;PN.wm;Annual;Median;16;H
70;"NR06,ER06";Offshore waters;PO4.wm;Dry;;;H
70;"NR06,ER06";Offshore waters;PO4.wm;Wet;;;H
70;"NR06,ER06";Offshore waters;PO4.wm;Annual;Median;0.39;H
70;"NR06,ER06";Offshore waters;PP.wm;Dry;;;H
70;"NR06,ER06";Offshore waters;PP.wm;Wet;;;H
70;"NR06,ER06";Offshore waters;PP.wm;Annual;Median;1.9;H
70;"NR06,ER06";Offshore waters;DRIFTCHL_UGPERL.wm;Dry;;;H
70;"NR06,ER06";Offshore waters;DRIFTCHL_UGPERL.wm;Wet;;;H
70;"NR06,ER06";Offshore waters;DRIFTCHL_UGPERL.wm;Annual;Median;0.26;H
70;"NR06,ER06";Offshore waters;NTU;Dry;;;H
70;"NR06,ER06";Offshore waters;NTU;Wet;;;H
70;"NR06,ER06";Offshore waters;NTU;Annual;Median;0.5;H
70;"NR06,ER06";Offshore waters;SECCHI_DEPTH.wm;Dry;;;L
70;"NR06,ER06";Offshore waters;SECCHI_DEPTH.wm;Wet;;;L
70;"NR06,ER06";Offshore waters;SECCHI_DEPTH.wm;Annual;Mean;17;L
70;"NR06,ER06";Offshore waters;TSS_MGPERL.wm;Dry;;;H
70;"NR06,ER06";Offshore waters;TSS_MGPERL.wm;Wet;;;H
70;"NR06,ER06";Offshore waters;TSS_MGPERL.wm;Annual;Median;0.5;H
1;"C1,C6,C8,RM1,RM8";Open Coastal waters;NOx.wm;Dry;;;H
1;"C1,C6,C8,RM1,RM8";Open Coastal waters;NOx.wm;Wet;;;H
1;"C1,C6,C8,RM1,RM8";Open Coastal waters;NOx.wm;Annual;Median;0.35;H
1;"C1,C6,C8,RM1,RM8";Open Coastal waters;PN.wm;Dry;Median;16;H
