GBRMPA_group;SHORT_NAME;GBRMPA_water_area;Measure;GL.Season;Location;GL;DirectionOfFailure
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;DRIFTCHL_UGPERL.wm;Dry;Median;0.25;H
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;DRIFTCHL_UGPERL.wm;Wet;Median;0.46;H
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;DRIFTCHL_UGPERL.wm;Annual;Median;0.36;H
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;NTU;Dry;Median;0.9;H
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;NTU;Wet;Median;0.8;H
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;NTU;Annual;Median;;H
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;SECCHI_DEPTH.wm;Dry;Median;;L
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;SECCHI_DEPTH.wm;Wet;Median;;L
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;SECCHI_DEPTH.wm;Annual;Mean;10;L
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;TSS_MGPERL.wm;Dry;Mean;1.6;H
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;TSS_MGPERL.wm;Wet;Median;1.7;H
50;ER02b,ER03,AR02b,AR03b,CI01,NR03,NR04,SR03,SR04,PRN02,PRN03,PRS02,PRS03,PRS2.5;Open Coastal waters;TSS_MGPERL.wm;Annual;Median;1.9;H

60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;NOx.wm;Dry;Median;;H
60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;NOx.wm;Wet;Median;;H
60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;NOx.wm;Annual;Median;0.35;H
60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;PN.wm;Dry;Mean;;H
60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;PN.wm;Wet;Median;;H
60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;PN.wm;Annual;Median;18;H
60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;PO4.wm;Dry;Median;;H
60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;PO4.wm;Wet;Median;;H
60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;PO4.wm;Annual;Median;0.62;H
60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;PP.wm;Dry;Mean;;H
60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;PP.wm;Wet;Median;;H
60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;PP.wm;Annual;Median;2;H
60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;DRIFTCHL_UGPERL.wm;Dry;Median;;H
60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;DRIFTCHL_UGPERL.wm;Wet;Median;;H
60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;DRIFTCHL_UGPERL.wm;Annual;Median;0.27;H
60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;NTU;Dry;Median;;H
60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;NTU;Wet;Median;;H
60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;NTU;Annual;Median;0.5;H
60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;SECCHI_DEPTH.wm;Dry;Median;;L
60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;SECCHI_DEPTH.wm;Wet;Median;;L
60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;SECCHI_DEPTH.wm;Annual;Mean;10;L
60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;TSS_MGPERL.wm;Dry;Mean;;H
60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;TSS_MGPERL.wm;Wet;Median;;H
60;AE04,ER05,NR05,SR05,SR06,PRN04,PRN05,PRN06,PRBB,PRS05;Midshelf waters;TSS_MGPERL.wm;Annual;Median;1.5;H
70;NR06,ER06;Offshore waters;NOx.wm;Dry;Median;;H
70;NR06,ER06;Offshore waters;NOx.wm;Wet;Median;;H
70;NR06,ER06;Offshore waters;NOx.wm;Annual;Median;0.42;H
70;NR06,ER06;Offshore waters;PN.wm;Dry;Median;;H
70;NR06,ER06;Offshore waters;PN.wm;Wet;Median;;H
70;NR06,ER06;Offshore waters;PN.wm;Annual;Median;16;H
70;NR06,ER06;Offshore waters;PO4.wm;Dry;Median;;H
70;NR06,ER06;Offshore waters;PO4.wm;Wet;Median;;H
70;NR06,ER06;Offshore waters;PO4.wm;Annual;Median;0.39;H
70;NR06,ER06;Offshore waters;PP.wm;Dry;Mean;;H
70;NR06,ER06;Offshore waters;PP.wm;Wet;Median;;H
70;NR06,ER06;Offshore waters;PP.wm;Annual;Median;1.9;H
70;NR06,ER06;Offshore waters;DRIFTCHL_UGPERL.wm;Dry;Median;;H
70;NR06,ER06;Offshore waters;DRIFTCHL_UGPERL.wm;Wet;Median;;H
70;NR06,ER06;Offshore waters;DRIFTCHL_UGPERL.wm;Annual;Median;0.26;H
70;NR06,ER06;Offshore waters;NTU;Dry;Median;;H
70;NR06,ER06;Offshore waters;NTU;Wet;Median;;H
70;NR06,ER06;Offshore waters;NTU;Annual;Median;0.5;H
70;NR06,ER06;Offshore waters;SECCHI_DEPTH.wm;Dry;Median;;L
70;NR06,ER06;Offshore waters;SECCHI_DEPTH.wm;Wet;Median;;L
70;NR06,ER06;Offshore waters;SECCHI_DEPTH.wm;Annual;Mean;17;L
70;NR06,ER06;Offshore waters;TSS_MGPERL.wm;Dry;Mean;;H
70;NR06,ER06;Offshore waters;TSS_MGPERL.wm;Wet;Median;;H
70;NR06,ER06;Offshore waters;TSS_MGPERL.wm;Annual;Median;0.5;H
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;NOx.wm;Dry;Median;;H
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;NOx.wm;Wet;Median;;H
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;NOx.wm;Annual;Median;0.35;H
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;PN.wm;Dry;Median;16;H
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;PN.wm;Wet;Median;25;H
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;PN.wm;Annual;Mean;20;H
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;PO4.wm;Dry;Median;;H
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;PO4.wm;Wet;Median;;H
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;PO4.wm;Annual;Median;2;H
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;PP.wm;Dry;Median;2.3;H
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;PP.wm;Wet;Median;3.3;H
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;PP.wm;Annual;Mean;2.8;H
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;DRIFTCHL_UGPERL.wm;Dry;Median;0.32;H
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;DRIFTCHL_UGPERL.wm;Wet;Median;0.63;H
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;DRIFTCHL_UGPERL.wm;Annual;Mean;0.45;H
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;NTU;Dry;Median;;H
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;NTU;Wet;Median;;H
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;NTU;Annual;Median;1;H
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;SECCHI_DEPTH.wm;Dry;Median;;L
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;SECCHI_DEPTH.wm;Wet;Median;;L
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;SECCHI_DEPTH.wm;Annual;Mean;10;L
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;TSS_MGPERL.wm;Dry;Median;1.6;H
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;TSS_MGPERL.wm;Wet;Median;2.4;H
1;C1,C6,C8,RM1,RM4,RM8,TUL1;Open Coastal waters;TSS_MGPERL.wm;Annual;Mean;2;H
2;RM9,RM10,TUL3,TUL4,TUL5,TUL6,TUL8,TUL9;Open Coastal waters;NOx.wm;Dry;Median;;H
2;RM9,RM10,TUL3,TUL4,TUL5,TUL6,TUL8,TUL9;Open Coastal waters;NOx.wm;Wet;Median;;H
2;RM9,RM10,TUL3,TUL4,TUL5,TUL6,TUL8,TUL9;Open Coastal waters;NOx.wm;Annual;Median;0.35;H
2;RM9,RM10,TUL3,TUL4,TUL5,TUL6,TUL8,TUL9;Open Coastal waters;PN.wm;Dry;Median;16;H
2;RM9,RM10,TUL3,TUL4,TUL5,TUL6,TUL8,TUL9;Open Coastal waters;PN.wm;Wet;Median;25;H
